Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
447,3.725,Deep,N2,Light,0,0.691566741369942
448,3.7333333333333334,Deep,N2,Light,0,0.6197029265610228
449,3.7416666666666667,Deep,N2,Light,0,0.7145306124433644
450,3.75,Deep,N2,Light,0,0.8417391115226391
451,3.7583333333333333,Deep,N2,Light,0,0.822572385832433
452,3.7666666666666666,Deep,N2,Light,0,0.7628233403650938
453,3.775,Light,N2,Light,1,0.8845209000580121
454,3.783333333333333,Light,N2,Light,1,0.82560766045471
455,3.7916666666666665,Light,N2,Light,1,0.8653598496945925
456,3.8,Light,N2,Light,1,0.9006141304916837
457,3.808333333333333,Light,N2,Light,1,0.8588080177371411
458,3.816666666666667,Light,N2,Light,1,0.8645104773547831
459,3.825,Light,N2,Light,1,0.7943570517316236
460,3.8333333333333335,Light,W,Wake,0,0.40264690817815485
461,3.841666666666667,Light,N3,Deep,0,0.594509740660716
